affinity_name,status_report,offer_number,policy_number,zipcode_link,zip4,birth_date,brand,date_offer,date_request,policy_start_date,premium,buildyear_car,buildmonth_car,wa,wa_bep_ca,wa_ca,updated_on,zipcode_link,zip4,PROVINCE,URB,INCOME,SOCCL_A,SOCCL_B1,SOCCL_B2,SOCCL_C,SOCCL_D,EDU_HIGH,EDU_MID,EDU_LOW,DINK,OWN_HOUSE,AVG_HOUSE,RENT_PRICE,STAGE_OF_LIFE,SINGLE,FAM,FAM_WCHILD,SINGLES_YOUNG,SINGLES_MID,SINGLES_OLD,FAM_CHILD_Y,FAM_CHILD_O,FAM_WCHILD_Y,FAM_WCHILD_MED,FAM_WCHILD_OLD,CIT_HOUSEHOLD,LOAN,SAVINGS,SHOP_ONLINE,CAR
Insuro,Policycreated,1008,10004,10008,3081,Oct-53,TOYOTA,10/13/18,10/14/18,12/01/18,279.1199951,2003,May,Y,NA,NA,10/15/18,10008,3081,South Holland,1,3,1,2,3,3,2,2,4,3,3,2,2,9,9,4,4,3,3,3,3,3,3,1,1,3,3,4,3,3,3
Seguros International Ltd.,Calculatenewpremium,1009,NA,10009,1333,Mar-94,TOYOTA,10/14/18,NA,NA,323.3999939,1997,September,Y,NA,NA,10/14/18,10009,1333,Flevoland,2,3,2,3,3,1,2,3,4,2,4,5,6,NULL,6,3,4,4,1,2,3,1,4,2,1,4,4,4,5,5,4
Seguros International Ltd.,Waitresponsebackoffice,5721,11259,10009,1333,Mar-94,TOYOTA,10/25/19,10/25/19,12/01/19,365.8800049,1997,September,Y,NA,NA,10/25/19,10009,1333,Flevoland,2,3,2,3,3,1,2,3,4,2,4,5,6,NULL,6,3,4,4,1,2,3,1,4,2,1,4,4,4,5,5,4
Seguros International Ltd.,Policycreated,5721,11259,10009,1333,Mar-94,TOYOTA,10/25/19,10/25/19,12/01/19,365.8800049,1997,September,Y,NA,NA,10/25/19,10009,1333,Flevoland,2,3,2,3,3,1,2,3,4,2,4,5,6,NULL,6,3,4,4,1,2,3,1,4,2,1,4,4,4,5,5,4
other,Requestrejected,1010,10005,10010,2272,Aug-91,BMW,10/14/18,10/14/18,10/16/18,1391.160034,2008,April,NA,NA,Y,10/16/18,10010,2272,South Holland,4,2,3,2,3,2,1,3,3,3,2,2,3,11,2,5,3,3,1,4,3,3,1,3,1,3,2,2,4,6,2
other,Incompleterequest,1011,NA,10011,3553,Nov-71,SKODA,10/14/18,NA,NA,913.3200073,2016,February,NA,NA,Y,11/05/18,10011,3553,Utrecht,1,2,4,2,2,2,1,4,2,2,4,4,8,NULL,2,4,4,4,2,4,2,3,2,3,3,1,3,4,6,6,4
other,Incompleterequest,1012,NA,10012,6214,Sep-92,TOYOTA,10/15/18,NA,NA,564.5999756,2016,October,NA,NA,Y,10/15/18,10012,6214,Limburg,2,3,2,2,4,2,1,5,2,1,2,2,2,NULL,1,5,1,3,4,1,1,1,1,3,1,1,2,1,6,5,1
Insuro,Tailoredofferrejected,1013,NA,10013,4751,May-95,BMW,10/15/18,NA,NA,0,2018,April,N,N,N,10/16/18,10013,4751,North Brabant,6,3,2,4,2,1,1,2,5,2,3,5,11,NULL,9,2,3,5,1,2,1,1,3,1,3,4,4,1,6,4,5
Insuro,Calculatenewpremium,1014,NA,10013,4751,May-95,BMW,10/15/18,NA,NA,NULL,2018,April,N,N,N,10/15/18,10013,4751,North Brabant,6,3,2,4,2,1,1,2,5,2,3,5,11,NULL,9,2,3,5,1,2,1,1,3,1,3,4,4,1,6,4,5
other,Incompleterequest,1015,NA,10014,7211,Mar-59,VOLVO,10/15/18,NA,NA,527.5200195,2009,September,NA,NA,Y,10/15/18,10014,7211,Gelderland,7,4,3,4,2,1,1,2,5,2,6,4,9,NULL,7,3,4,5,1,1,3,3,3,4,3,3,4,4,4,6,5
other,Calculatenewpremium,1016,NA,10014,7211,Mar-59,VOLVO,10/15/18,NA,NA,515.6400146,2009,September,NA,NA,Y,10/15/18,10014,7211,Gelderland,7,4,3,4,2,1,1,2,5,2,6,4,9,NULL,7,3,4,5,1,1,3,3,3,4,3,3,4,4,4,6,5
Insuro,Incompleterequest,1017,NA,10015,3077,Aug-66,OPEL,10/16/18,NA,NA,314.519989,2005,August,Y,NA,NA,10/16/18,10015,3077,South Holland,1,2,1,5,2,1,1,2,5,2,6,5,5,NULL,8,3,4,4,1,2,3,3,3,1,4,3,4,5,5,6,5
other,Incompleterequest,1029,NA,10015,3077,Aug-66,OPEL,10/18/18,NA,NA,498.6000061,2005,August,Y,NA,NA,10/18/18,10015,3077,South Holland,1,2,1,5,2,1,1,2,5,2,6,5,5,NULL,8,3,4,4,1,2,3,3,3,1,4,3,4,5,5,6,5
Seguros International Ltd.,Policycreated,1064,10025,10015,3077,Aug-66,OPEL,10/25/18,10/25/18,10/28/18,381.8399963,2005,August,Y,NA,NA,10/25/18,10015,3077,South Holland,1,2,1,5,2,1,1,2,5,2,6,5,5,NULL,8,3,4,4,1,2,3,3,3,1,4,3,4,5,5,6,5
Insuro,Incompleterequest,1026,NA,10015,3077,Aug-66,OPEL,10/18/18,NA,NA,314.519989,2005,August,Y,NA,NA,10/18/18,10015,3077,South Holland,1,2,1,5,2,1,1,2,5,2,6,5,5,NULL,8,3,4,4,1,2,3,3,3,1,4,3,4,5,5,6,5
other,Incompleterequest,1116,NA,10015,3077,Aug-66,VOLKSWAGEN,11/05/18,NA,NA,1917.47998,2015,February,NA,NA,Y,11/05/18,10015,3077,South Holland,1,2,1,5,2,1,1,2,5,2,6,5,5,NULL,8,3,4,4,1,2,3,3,3,1,4,3,4,5,5,6,5
other,Incompleterequest,1117,NA,10015,3077,Aug-66,OPEL,11/05/18,NA,NA,733.6799927,2005,August,NA,Y,NA,11/05/18,10015,3077,South Holland,1,2,1,5,2,1,1,2,5,2,6,5,5,NULL,8,3,4,4,1,2,3,3,3,1,4,3,4,5,5,6,5
other,Calculatenewpremium,1118,NA,10015,3077,Aug-66,OPEL,11/05/18,NA,NA,535.7999878,2005,August,NA,Y,NA,11/05/18,10015,3077,South Holland,1,2,1,5,2,1,1,2,5,2,6,5,5,NULL,8,3,4,4,1,2,3,3,3,1,4,3,4,5,5,6,5
other,Adaptedproposalwithdrawn,8054,11693,10015,3077,Aug-66,OPEL,01/08/20,01/08/20,01/11/20,853.7199707,2005,August,Y,NA,NA,01/08/20,10015,3077,South Holland,1,2,1,5,2,1,1,2,5,2,6,5,5,NULL,8,3,4,4,1,2,3,3,3,1,4,3,4,5,5,6,5
other,Incompleterequest,8449,NA,10015,3077,Aug-66,OPEL,02/03/20,NA,NA,800.4000244,2005,August,Y,NA,NA,02/03/20,10015,3077,South Holland,1,2,1,5,2,1,1,2,5,2,6,5,5,NULL,8,3,4,4,1,2,3,3,3,1,4,3,4,5,5,6,5
other,Calculatenewpremium,1018,NA,10016,3332,Jun-69,AUDI,10/16/18,NA,NA,926.1599731,2017,March,NA,NA,Y,10/16/18,10016,3332,South Holland,4,1,5,2,1,1,1,5,1,1,4,4,12,NULL,9,1,4,5,1,1,1,3,4,2,2,4,5,1,6,5,5
Seguros International Ltd.,Policycreated,1019,10006,10017,2971,May-98,VOLKSWAGEN,10/16/18,10/16/18,10/20/18,165.4799957,2000,April,Y,NA,NA,10/17/18,10017,2971,South Holland,7,2,1,5,2,2,1,2,5,2,6,5,7,NULL,6,1,5,3,1,1,1,4,4,1,1,3,6,2,6,6,5
